Source,Target,Prediction,Confidence
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35321,http://purl.obolibrary.org/obo/DOID_1925,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3101,http://purl.obolibrary.org/obo/DOID_2214,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40025,http://purl.obolibrary.org/obo/DOID_5744,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97168,http://purl.obolibrary.org/obo/DOID_0050670,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85505,http://purl.obolibrary.org/obo/DOID_13078,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40033,http://purl.obolibrary.org/obo/DOID_6067,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26931,http://purl.obolibrary.org/obo/DOID_14177,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3252,http://purl.obolibrary.org/obo/DOID_5039,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4934,http://purl.obolibrary.org/obo/DOID_0060086,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126691,http://purl.obolibrary.org/obo/DOID_0110633,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C122662,http://purl.obolibrary.org/obo/DOID_0050594,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84671,http://purl.obolibrary.org/obo/DOID_6652,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27392,http://purl.obolibrary.org/obo/DOID_4915,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6585,http://purl.obolibrary.org/obo/DOID_3347,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42700,http://purl.obolibrary.org/obo/DOID_6171,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118844,http://purl.obolibrary.org/obo/DOID_14793,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5973,http://purl.obolibrary.org/obo/DOID_13476,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8884,http://purl.obolibrary.org/obo/DOID_5563,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7658,http://purl.obolibrary.org/obo/DOID_0080072,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41352,http://purl.obolibrary.org/obo/DOID_10568,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78395,http://purl.obolibrary.org/obo/DOID_13864,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84683,http://purl.obolibrary.org/obo/DOID_14793,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84562,http://purl.obolibrary.org/obo/DOID_14793,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35468,http://purl.obolibrary.org/obo/DOID_4449,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C116593,http://purl.obolibrary.org/obo/DOID_308,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8089,http://purl.obolibrary.org/obo/DOID_5485,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3193,http://purl.obolibrary.org/obo/DOID_3153,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40267,http://purl.obolibrary.org/obo/DOID_6848,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C129074,http://purl.obolibrary.org/obo/DOID_0060758,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43284,http://purl.obolibrary.org/obo/DOID_0050292,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49311,http://purl.obolibrary.org/obo/DOID_9877,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C44959,http://purl.obolibrary.org/obo/DOID_11262,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C98933,http://purl.obolibrary.org/obo/DOID_2862,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9061,http://purl.obolibrary.org/obo/DOID_11615,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7531,http://purl.obolibrary.org/obo/DOID_6576,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26755,http://purl.obolibrary.org/obo/DOID_1724,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C103186,http://purl.obolibrary.org/obo/DOID_0060043,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3969,http://purl.obolibrary.org/obo/DOID_0110849,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C115327,http://purl.obolibrary.org/obo/DOID_4858,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C123251,http://purl.obolibrary.org/obo/DOID_0060854,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35823,http://purl.obolibrary.org/obo/DOID_2529,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C128336,http://purl.obolibrary.org/obo/DOID_5052,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97090,http://purl.obolibrary.org/obo/DOID_9252,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C123251,http://purl.obolibrary.org/obo/DOID_0060855,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62570,http://purl.obolibrary.org/obo/DOID_2729,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35346,http://purl.obolibrary.org/obo/DOID_9942,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6569,http://purl.obolibrary.org/obo/DOID_4772,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74983,http://purl.obolibrary.org/obo/DOID_0060426,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35331,http://purl.obolibrary.org/obo/DOID_2237,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8366,http://purl.obolibrary.org/obo/DOID_6198,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84761,http://purl.obolibrary.org/obo/DOID_2741,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114357,http://purl.obolibrary.org/obo/DOID_676,True,1.0
