Prompt,Accuracy,Precision,Recall,F1 Score,Specificity,Sensitivity,Youden's index,Dataset,SubSet,Model,Run
direct_entity,0.747,0.72,0.9939,0.8351,0.3,0.9939,0.2939,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
direct_entity_ontological,0.747,0.72,0.9939,0.8351,0.3,0.9939,0.2939,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
sequential_hierarchy,0.7312,0.7111,0.9816,0.8247,0.2778,0.9816,0.2594,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
sequential_hierarchy_ontological,0.7115,0.694,0.9877,0.8152,0.2111,0.9877,0.1988,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
direct_entity_with_synonyms,0.7549,0.7265,0.9939,0.8394,0.3222,0.9939,0.3161,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
sequential_hierarchy_with_synonyms,0.7431,0.7188,0.9877,0.832,0.3,0.9877,0.2877,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
direct_entity,0.7668,0.7407,0.9816,0.8443,0.3778,0.9816,0.3594,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
direct_entity_ontological,0.7273,0.708,0.9816,0.8226,0.2667,0.9816,0.2483,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
sequential_hierarchy,0.7905,0.7644,0.9755,0.8571,0.4556,0.9755,0.431,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
sequential_hierarchy_ontological,0.7945,0.7681,0.9755,0.8595,0.4667,0.9755,0.4421,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
direct_entity_with_synonyms,0.7866,0.7535,0.9939,0.8571,0.4111,0.9939,0.405,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
sequential_hierarchy_with_synonyms,0.7866,0.7559,0.9877,0.8564,0.4222,0.9877,0.41,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
direct_entity,0.7866,0.7608,0.9755,0.8548,0.4444,0.9755,0.4199,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
direct_entity_ontological,0.7905,0.8274,0.8528,0.8399,0.6778,0.8528,0.5305,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
