Source,Target,Prediction,Confidence
http://snomed.info/id/411264000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152407,True,1.0
http://snomed.info/id/259446009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C83975,True,1.0
http://snomed.info/id/373337007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62045,True,1.0
http://snomed.info/id/96225007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61312,False,1.0
http://snomed.info/id/372707005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45653,True,1.0
http://snomed.info/id/10534002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39668,False,1.0
http://snomed.info/id/762766007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76929,False,1.0
http://snomed.info/id/782612003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61634,True,1.0
http://snomed.info/id/703113001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97308,True,1.0
http://snomed.info/id/703113001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97307,True,1.0
http://snomed.info/id/57583000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47632,True,1.0
http://snomed.info/id/12289007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C81304,True,1.0
http://snomed.info/id/41412001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68538,True,1.0
http://snomed.info/id/412384000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47518,True,1.0
http://snomed.info/id/70990002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95317,False,1.0
http://snomed.info/id/108419004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48007,True,1.0
http://snomed.info/id/773466000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29084,True,1.0
http://snomed.info/id/52370008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29250,True,1.0
http://snomed.info/id/5776009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C245,True,1.0
http://snomed.info/id/76587005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1588,True,1.0
http://snomed.info/id/90944001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C397,False,1.0
http://snomed.info/id/734473007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66945,True,1.0
http://snomed.info/id/373524005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62084,True,1.0
http://snomed.info/id/387299004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48012,True,1.0
http://snomed.info/id/372602008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C651,True,1.0
http://snomed.info/id/108937007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C755,False,1.0
http://snomed.info/id/5811000122108,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95766,True,1.0
http://snomed.info/id/395881001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73845,True,1.0
http://snomed.info/id/372558009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C308,True,1.0
http://snomed.info/id/409330005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C673,True,1.0
http://snomed.info/id/387200005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66868,True,1.0
http://snomed.info/id/106076001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36281,True,1.0
http://snomed.info/id/441570004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74598,True,1.0
http://snomed.info/id/346325008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52588,True,1.0
http://snomed.info/id/259470008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61773,True,1.0
http://snomed.info/id/278910002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C81123,True,1.0
http://snomed.info/id/52642002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C735,True,1.0
http://snomed.info/id/417163006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3671,True,1.0
http://snomed.info/id/422042001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2194,False,1.0
http://snomed.info/id/88802007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C79807,True,1.0
http://snomed.info/id/782375001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1323,True,1.0
http://snomed.info/id/63676001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29606,True,1.0
http://snomed.info/id/395733003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1317,True,1.0
http://snomed.info/id/782570005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61773,True,1.0
http://snomed.info/id/424943007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1745,True,1.0
http://snomed.info/id/23433006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29029,True,1.0
http://snomed.info/id/395763007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29250,True,1.0
http://snomed.info/id/111131008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C872,True,1.0
http://snomed.info/id/26370007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78311,True,1.0
http://snomed.info/id/126223008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C607,True,1.0
http://snomed.info/id/419598008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2220,True,1.0
http://snomed.info/id/69314008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47646,False,1.0
http://snomed.info/id/734874007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C272,True,1.0
http://snomed.info/id/895275007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C254,True,1.0
http://snomed.info/id/428681007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1555,True,1.0
http://snomed.info/id/734600000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2151,True,1.0
http://snomed.info/id/387474003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C773,False,1.0
http://snomed.info/id/410652009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19448,True,1.0
http://snomed.info/id/108713004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61928,True,1.0
http://snomed.info/id/788642007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63347,True,1.0
http://snomed.info/id/256017007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80991,False,1.0
http://snomed.info/id/412528004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76318,True,1.0
http://snomed.info/id/372794006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29701,True,1.0
http://snomed.info/id/76587005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C517,True,1.0
http://snomed.info/id/387468003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65526,False,1.0
http://snomed.info/id/789359000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C162995,False,1.0
http://snomed.info/id/372538008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62040,True,1.0
http://snomed.info/id/372572000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61940,True,1.0
http://snomed.info/id/372916001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C72910,True,1.0
http://snomed.info/id/372627001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C360,True,1.0
http://snomed.info/id/372755005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66506,True,1.0
http://snomed.info/id/50754002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C904,True,1.0
http://snomed.info/id/127384006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C329,True,1.0
http://snomed.info/id/20691000122100,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99563,True,1.0
http://snomed.info/id/27378009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61997,True,1.0
http://snomed.info/id/734575003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1748,True,1.0
http://snomed.info/id/96146007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C142371,True,1.0
http://snomed.info/id/734934002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2486,True,1.0
http://snomed.info/id/412166009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80656,True,1.0
http://snomed.info/id/782571009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1440,True,1.0
http://snomed.info/id/387480006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48000,False,1.0
http://snomed.info/id/96288007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61875,True,1.0
http://snomed.info/id/30827002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C83540,True,1.0
http://snomed.info/id/30827002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C83541,False,1.0
http://snomed.info/id/47677002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80143,False,1.0
http://snomed.info/id/59751001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66917,True,1.0
http://snomed.info/id/387230002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C81340,True,1.0
http://snomed.info/id/767362004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1450,True,1.0
http://snomed.info/id/373337007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C646,True,1.0
http://snomed.info/id/423078004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1946,True,1.0
http://snomed.info/id/10174003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C773,True,1.0
http://snomed.info/id/387264003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28982,True,1.0
http://snomed.info/id/63004003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61715,False,1.0
http://snomed.info/id/63004003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61713,False,1.0
http://snomed.info/id/255968003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C170039,True,1.0
http://snomed.info/id/77673009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48646,True,1.0
http://snomed.info/id/39525005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C913,True,1.0
http://snomed.info/id/442263003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C155981,True,1.0
http://snomed.info/id/12502001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80991,True,1.0
http://snomed.info/id/412564003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C136824,True,1.0
http://snomed.info/id/48075008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12470,True,1.0
http://snomed.info/id/738747006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152666,True,1.0
http://snomed.info/id/1149379008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C175815,False,1.0
http://snomed.info/id/387297002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C633,True,1.0
http://snomed.info/id/109083009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C173523,False,1.0
http://snomed.info/id/412608008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C60810,True,1.0
http://snomed.info/id/372487007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48007,False,1.0
http://snomed.info/id/387109000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62030,True,1.0
http://snomed.info/id/259659006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45812,False,1.0
http://snomed.info/id/65088001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29382,True,1.0
http://snomed.info/id/372579009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68299,True,1.0
http://snomed.info/id/372532009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61927,True,1.0
http://snomed.info/id/372532009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61928,True,1.0
http://snomed.info/id/428505006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37452,False,1.0
http://snomed.info/id/428714003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80008,False,1.0
http://snomed.info/id/387107003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47685,True,1.0
http://snomed.info/id/395772004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87616,True,1.0
http://snomed.info/id/395772004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87615,True,1.0
http://snomed.info/id/81745001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12401,True,1.0
http://snomed.info/id/372520005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47408,True,1.0
http://snomed.info/id/41368006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3430,True,1.0
http://snomed.info/id/409408008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1742,True,1.0
http://snomed.info/id/372806008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29578,True,1.0
http://snomed.info/id/95976009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61631,True,1.0
http://snomed.info/id/415710007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68542,True,1.0
http://snomed.info/id/387427007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C933,True,1.0
http://snomed.info/id/71668006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47444,False,1.0
http://snomed.info/id/373254001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29576,True,1.0
http://snomed.info/id/373476007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C654,False,1.0
http://snomed.info/id/108794009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85457,True,1.0
http://snomed.info/id/372866006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47973,True,1.0
http://snomed.info/id/734587005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2021,True,1.0
http://snomed.info/id/395954002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61627,True,1.0
http://snomed.info/id/69314008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74401,False,1.0
http://snomed.info/id/256180000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87222,False,1.0
http://snomed.info/id/80918003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C785,True,1.0
http://snomed.info/id/387564004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62012,True,1.0
http://snomed.info/id/71544008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28179,True,1.0
http://snomed.info/id/372817009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1326,True,1.0
http://snomed.info/id/129497004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65963,True,1.0
http://snomed.info/id/387566002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C154301,True,1.0
http://snomed.info/id/372803000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61856,True,1.0
http://snomed.info/id/10174003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62072,True,1.0
http://snomed.info/id/387109000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29060,True,1.0
http://snomed.info/id/40601003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47973,True,1.0
http://snomed.info/id/418139001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80935,True,1.0
http://snomed.info/id/426388000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48002,True,1.0
http://snomed.info/id/108646003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47408,True,1.0
http://snomed.info/id/734576002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1637,True,1.0
http://snomed.info/id/387302004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80003,False,1.0
http://snomed.info/id/387495008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74152,False,1.0
http://snomed.info/id/308489006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16956,True,1.0
http://snomed.info/id/444706005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87453,True,1.0
http://snomed.info/id/734583009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2148,True,1.0
http://snomed.info/id/741013008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139651,True,1.0
http://snomed.info/id/18858006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68534,True,1.0
http://snomed.info/id/10534002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101518,False,1.0
http://snomed.info/id/734768002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29575,False,1.0
http://snomed.info/id/372784001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80006,False,1.0
http://snomed.info/id/18414002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29029,False,1.0
http://snomed.info/id/788028003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C271,True,1.0
http://snomed.info/id/387150008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62011,True,1.0
http://snomed.info/id/725734005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47417,True,1.0
http://snomed.info/id/713360008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C762,True,1.0
http://snomed.info/id/734603003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1589,True,1.0
http://snomed.info/id/784176007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C159156,True,1.0
http://snomed.info/id/387302004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75929,True,1.0
http://snomed.info/id/387485001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C436,True,1.0
http://snomed.info/id/372479006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47761,True,1.0
http://snomed.info/id/428282007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37452,True,1.0
http://snomed.info/id/372557004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C755,False,1.0
http://snomed.info/id/764146007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80247,False,1.0
http://snomed.info/id/8612007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C913,True,1.0
http://snomed.info/id/116521005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28932,True,1.0
http://snomed.info/id/126162007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2298,False,1.0
http://snomed.info/id/5774007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29538,True,1.0
http://snomed.info/id/783924002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47794,True,1.0
http://snomed.info/id/412029000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C170404,True,1.0
http://snomed.info/id/781565001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C124946,True,1.0
