Prompt,Accuracy,Precision,Recall,F1 Score,Specificity,Sensitivity,Youden's index,Dataset,SubSet,Model,Run
direct_entity,0.8116,0.7989,0.9932,0.8855,0.3113,0.9932,0.3045,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
direct_entity_ontological,0.8116,0.7989,0.9932,0.8855,0.3113,0.9932,0.3045,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
sequential_hierarchy,0.7965,0.789,0.9863,0.8767,0.2736,0.9863,0.2599,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
sequential_hierarchy_ontological,0.7789,0.7727,0.9897,0.8679,0.1981,0.9897,0.1878,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
direct_entity_with_synonyms,0.8116,0.7989,0.9932,0.8855,0.3113,0.9932,0.3045,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
sequential_hierarchy_with_synonyms,0.809,0.7983,0.9897,0.8838,0.3113,0.9897,0.301,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
direct_entity,0.8291,0.8182,0.9863,0.8944,0.3962,0.9863,0.3825,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
direct_entity_ontological,0.794,0.7853,0.9897,0.8758,0.2547,0.9897,0.2444,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
sequential_hierarchy,0.8442,0.8343,0.9829,0.9025,0.4623,0.9829,0.4451,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
sequential_hierarchy_ontological,0.8417,0.8358,0.976,0.9005,0.4717,0.976,0.4477,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
direct_entity_with_synonyms,0.8417,0.8262,0.9932,0.902,0.4245,0.9932,0.4177,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
sequential_hierarchy_with_synonyms,0.8417,0.8281,0.9897,0.9017,0.434,0.9897,0.4237,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
direct_entity,0.8291,0.8237,0.976,0.8934,0.4245,0.976,0.4006,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
direct_entity_ontological,0.7965,0.8728,0.8459,0.8591,0.6604,0.8459,0.5063,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
sequential_hierarchy,0.8291,0.8218,0.9795,0.8938,0.4151,0.9795,0.3945,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
sequential_hierarchy_ontological,0.8015,0.8403,0.9007,0.8694,0.5283,0.9007,0.429,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
direct_entity_with_synonyms,0.8166,0.812,0.976,0.8865,0.3774,0.976,0.3534,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
sequential_hierarchy_with_synonyms,0.8141,0.8062,0.9829,0.8858,0.3491,0.9829,0.3319,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
direct_entity,0.897,0.9283,0.9315,0.9299,0.8019,0.9315,0.7334,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
direct_entity_ontological,0.897,0.9373,0.9212,0.9292,0.8302,0.9212,0.7514,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
sequential_hierarchy,0.907,0.9293,0.9452,0.9372,0.8019,0.9452,0.7471,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
sequential_hierarchy_ontological,0.8819,0.9125,0.9281,0.9202,0.7547,0.9281,0.6828,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
direct_entity_with_synonyms,0.907,0.9126,0.9658,0.9384,0.7453,0.9658,0.711,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
sequential_hierarchy_with_synonyms,0.897,0.9088,0.9555,0.9316,0.7358,0.9555,0.6913,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
direct_entity_with_synonyms,0.8116,0.8423,0.9144,0.8768,0.5283,0.9144,0.4427,anatomy,human-mouse,gpt-4o-mini,2025-03-19_19-48-41
sequential_hierarchy_with_synonyms,0.7136,0.887,0.6986,0.7816,0.7547,0.6986,0.4533,anatomy,human-mouse,gpt-4o-mini,2025-03-19_19-48-41
direct_entity,0.7085,0.9037,0.6747,0.7725,0.8019,0.6747,0.4765,anatomy,human-mouse,gpt-4o-mini,2025-03-12_17-21-53
direct_entity_ontological,0.5126,0.8889,0.3836,0.5359,0.8679,0.3836,0.2515,anatomy,human-mouse,gpt-4o-mini,2025-03-12_17-21-53
sequential_hierarchy,0.7111,0.8899,0.6918,0.7784,0.7642,0.6918,0.4559,anatomy,human-mouse,gpt-4o-mini,2025-03-12_17-21-53
sequential_hierarchy_ontological,0.4799,0.8899,0.3322,0.4838,0.8868,0.3322,0.219,anatomy,human-mouse,gpt-4o-mini,2025-03-12_17-21-53
direct_entity,0.6522,0.6242,0.9789,0.7623,0.2197,0.9789,0.1986,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
direct_entity_ontological,0.641,0.6157,0.9845,0.7576,0.1862,0.9845,0.1707,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
sequential_hierarchy,0.6514,0.6221,0.9887,0.7637,0.2048,0.9887,0.1936,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
sequential_hierarchy_ontological,0.6178,0.6007,0.9817,0.7453,0.1359,0.9817,0.1177,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
direct_entity_with_synonyms,0.6498,0.621,0.9887,0.7629,0.2011,0.9887,0.1899,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
sequential_hierarchy_with_synonyms,0.6506,0.6205,0.9958,0.7646,0.1937,0.9958,0.1894,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
direct_entity,0.6947,0.6621,0.948,0.7796,0.3594,0.948,0.3074,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
direct_entity_ontological,0.6386,0.614,0.9845,0.7563,0.1806,0.9845,0.1652,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
sequential_hierarchy,0.6851,0.6532,0.9536,0.7753,0.3296,0.9536,0.2832,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
sequential_hierarchy_ontological,0.6763,0.6543,0.9156,0.7632,0.3594,0.9156,0.275,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
direct_entity_with_synonyms,0.6867,0.6533,0.9592,0.7772,0.3259,0.9592,0.2851,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
sequential_hierarchy_with_synonyms,0.6851,0.6509,0.9648,0.7773,0.3147,0.9648,0.2795,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
direct_entity,0.6579,0.632,0.9564,0.7611,0.2626,0.9564,0.219,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
direct_entity_ontological,0.6651,0.6726,0.8031,0.7321,0.4823,0.8031,0.2854,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
sequential_hierarchy,0.6643,0.6342,0.9705,0.7671,0.2588,0.9705,0.2293,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
sequential_hierarchy_ontological,0.6522,0.6494,0.8467,0.735,0.3948,0.8467,0.2415,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
direct_entity_with_synonyms,0.6562,0.6303,0.9592,0.7607,0.2551,0.9592,0.2143,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-10_19-54-15
