Source,Target,Prediction,Confidence
http://human.owl#NCI_C32414,http://mouse.owl#MA_0001355,True,1.0
http://human.owl#NCI_C53050,http://mouse.owl#MA_0002234,True,1.0
http://human.owl#NCI_C32658,http://mouse.owl#MA_0002684,True,1.0
http://human.owl#NCI_C49228,http://mouse.owl#MA_0001633,True,1.0
http://human.owl#NCI_C49191,http://mouse.owl#MA_0000702,True,1.0
http://human.owl#NCI_C32296,http://mouse.owl#MA_0000789,False,1.0
http://human.owl#NCI_C12442,http://mouse.owl#MA_0000205,True,1.0
http://human.owl#NCI_C32743,http://mouse.owl#MA_0002723,False,1.0
http://human.owl#NCI_C12867,http://mouse.owl#MA_0001771,True,1.0
http://human.owl#NCI_C12758,http://mouse.owl#MA_0001095,True,1.0
http://human.owl#NCI_C12992,http://mouse.owl#MA_0000756,True,1.0
http://human.owl#NCI_C49312,http://mouse.owl#MA_0001729,True,1.0
http://human.owl#NCI_C12442,http://mouse.owl#MA_0000206,True,1.0
http://human.owl#NCI_C49210,http://mouse.owl#MA_0001841,True,1.0
http://human.owl#NCI_C33791,http://mouse.owl#MA_0000777,True,1.0
http://human.owl#NCI_C33565,http://mouse.owl#MA_0001552,True,1.0
http://human.owl#NCI_C33627,http://mouse.owl#MA_0001460,False,1.0
http://human.owl#NCI_C32492,http://mouse.owl#MA_0000398,True,1.0
http://human.owl#NCI_C53172,http://mouse.owl#MA_0002302,True,1.0
http://human.owl#NCI_C33869,http://mouse.owl#MA_0001454,True,1.0
http://human.owl#NCI_C33178,http://mouse.owl#MA_0001320,True,1.0
http://human.owl#NCI_C12907,http://mouse.owl#MA_0000014,True,1.0
http://human.owl#NCI_C12421,http://mouse.owl#MA_0000341,True,1.0
http://human.owl#NCI_C52844,http://mouse.owl#MA_0001914,True,1.0
http://human.owl#NCI_C33665,http://mouse.owl#MA_0002127,True,1.0
http://human.owl#NCI_C48257,http://mouse.owl#MA_0002677,False,1.0
http://human.owl#NCI_C13041,http://mouse.owl#MA_0000004,False,1.0
http://human.owl#NCI_C33121,http://mouse.owl#MA_0001347,False,1.0
http://human.owl#NCI_C33205,http://mouse.owl#MA_0001326,False,1.0
http://human.owl#NCI_C33661,http://mouse.owl#MA_0002062,False,1.0
http://human.owl#NCI_C33666,http://mouse.owl#MA_0002225,False,1.0
http://human.owl#NCI_C12455,http://mouse.owl#MA_0000170,True,1.0
http://human.owl#NCI_C12884,http://mouse.owl#MA_0002655,True,1.0
http://human.owl#NCI_C32653,http://mouse.owl#MA_0000901,False,1.0
http://human.owl#NCI_C33661,http://mouse.owl#MA_0002053,False,1.0
http://human.owl#NCI_C32926,http://mouse.owl#MA_0002688,True,1.0
http://human.owl#NCI_C12897,http://mouse.owl#MA_0001073,True,1.0
http://human.owl#NCI_C52941,http://mouse.owl#MA_0001982,True,1.0
http://human.owl#NCI_C12899,http://mouse.owl#MA_0001039,True,1.0
http://human.owl#NCI_C49210,http://mouse.owl#MA_0001831,True,1.0
http://human.owl#NCI_C12821,http://mouse.owl#MA_0001032,True,1.0
http://human.owl#NCI_C49136,http://mouse.owl#MA_0000186,True,1.0
http://human.owl#NCI_C32683,http://mouse.owl#MA_0001659,True,1.0
http://human.owl#NCI_C49222,http://mouse.owl#MA_0001567,True,1.0
http://human.owl#NCI_C32929,http://mouse.owl#MA_0001546,True,1.0
http://human.owl#NCI_C32154,http://mouse.owl#MA_0001676,True,1.0
http://human.owl#NCI_C12759,http://mouse.owl#MA_0000288,True,1.0
http://human.owl#NCI_C32154,http://mouse.owl#MA_0001679,False,1.0
http://human.owl#NCI_C12379,http://mouse.owl#MA_0000333,True,1.0
http://human.owl#NCI_C32824,http://mouse.owl#MA_0002324,True,1.0
http://human.owl#NCI_C28381,http://mouse.owl#MA_0001289,True,1.0
http://human.owl#NCI_C13177,http://mouse.owl#MA_0000279,True,1.0
http://human.owl#NCI_C32945,http://mouse.owl#MA_0001280,True,1.0
http://human.owl#NCI_C12292,http://mouse.owl#MA_0000259,True,1.0
http://human.owl#NCI_C49301,http://mouse.owl#MA_0001596,True,1.0
http://human.owl#NCI_C32561,http://mouse.owl#MA_0002325,True,1.0
http://human.owl#NCI_C12351,http://mouse.owl#MA_0000183,False,1.0
http://human.owl#NCI_C12378,http://mouse.owl#MA_0000323,True,1.0
http://human.owl#NCI_C32538,http://mouse.owl#MA_0002680,True,1.0
http://human.owl#NCI_C49330,http://mouse.owl#MA_0000704,True,1.0
http://human.owl#NCI_C32933,http://mouse.owl#MA_0001756,True,1.0
