Prompt,Accuracy,Precision,Recall,F1 Score,Specificity,Sensitivity,Youden's index,Dataset,SubSet,Model,Run
all_data_dummy,0.804,0.7956,0.9863,0.8807,0.3019,0.9863,0.2882,anatomy,human-mouse,gemini-1.5-flash,2025-05-11_14-15-15
only_names,0.7889,0.7766,1.0,0.8743,0.2075,1.0,0.2075,anatomy,human-mouse,gemini-1.5-flash,2025-05-11_14-15-15
only_with_children,0.799,0.7849,1.0,0.8795,0.2453,1.0,0.2453,anatomy,human-mouse,gemini-1.5-flash,2025-05-11_14-15-15
only_with_parents,0.7864,0.779,0.9897,0.8718,0.2264,0.9897,0.2161,anatomy,human-mouse,gemini-1.5-flash,2025-05-11_14-15-15
with_hierarchy,0.7915,0.7832,0.9897,0.8744,0.2453,0.9897,0.235,anatomy,human-mouse,gemini-1.5-flash,2025-05-11_14-15-15
direct_entity,0.8116,0.7989,0.9932,0.8855,0.3113,0.9932,0.3045,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
direct_entity_ontological,0.8116,0.7989,0.9932,0.8855,0.3113,0.9932,0.3045,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
sequential_hierarchy,0.7965,0.789,0.9863,0.8767,0.2736,0.9863,0.2599,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
sequential_hierarchy_ontological,0.7789,0.7727,0.9897,0.8679,0.1981,0.9897,0.1878,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
direct_entity_with_synonyms,0.8116,0.7989,0.9932,0.8855,0.3113,0.9932,0.3045,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
sequential_hierarchy_with_synonyms,0.809,0.7983,0.9897,0.8838,0.3113,0.9897,0.301,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
all_data_dummy,0.8216,0.8113,0.9863,0.8903,0.3679,0.9863,0.3542,anatomy,human-mouse,gemini-2.0-flash,2025-05-11_14-13-34
only_names,0.8065,0.7913,1.0,0.8835,0.2736,1.0,0.2736,anatomy,human-mouse,gemini-2.0-flash,2025-05-11_14-13-34
only_with_children,0.8166,0.8,1.0,0.8889,0.3113,1.0,0.3113,anatomy,human-mouse,gemini-2.0-flash,2025-05-11_14-13-34
only_with_parents,0.7965,0.7859,0.9932,0.8775,0.2547,0.9932,0.2479,anatomy,human-mouse,gemini-2.0-flash,2025-05-11_14-13-34
with_hierarchy,0.8116,0.7989,0.9932,0.8855,0.3113,0.9932,0.3045,anatomy,human-mouse,gemini-2.0-flash,2025-05-11_14-13-34
direct_entity,0.8291,0.8182,0.9863,0.8944,0.3962,0.9863,0.3825,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
direct_entity_ontological,0.794,0.7853,0.9897,0.8758,0.2547,0.9897,0.2444,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
sequential_hierarchy,0.8442,0.8343,0.9829,0.9025,0.4623,0.9829,0.4451,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
sequential_hierarchy_ontological,0.8417,0.8358,0.976,0.9005,0.4717,0.976,0.4477,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
direct_entity_with_synonyms,0.8417,0.8262,0.9932,0.902,0.4245,0.9932,0.4177,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
sequential_hierarchy_with_synonyms,0.8417,0.8281,0.9897,0.9017,0.434,0.9897,0.4237,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
all_data_dummy,0.8518,0.8498,0.9692,0.9056,0.5283,0.9692,0.4975,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-11_14-14-29
only_names,0.799,0.7849,1.0,0.8795,0.2453,1.0,0.2453,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-11_14-14-29
only_with_children,0.804,0.7908,0.9966,0.8818,0.2736,0.9966,0.2702,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-11_14-14-29
only_with_parents,0.8015,0.7886,0.9966,0.8805,0.2642,0.9966,0.2607,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-11_14-14-29
with_hierarchy,0.8166,0.8017,0.9966,0.8885,0.3208,0.9966,0.3173,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-11_14-14-29
direct_entity,0.8291,0.8237,0.976,0.8934,0.4245,0.976,0.4006,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
direct_entity_ontological,0.7965,0.8728,0.8459,0.8591,0.6604,0.8459,0.5063,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
sequential_hierarchy,0.8291,0.8218,0.9795,0.8938,0.4151,0.9795,0.3945,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
sequential_hierarchy_ontological,0.8015,0.8403,0.9007,0.8694,0.5283,0.9007,0.429,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
direct_entity_with_synonyms,0.8166,0.812,0.976,0.8865,0.3774,0.976,0.3534,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
sequential_hierarchy_with_synonyms,0.8141,0.8062,0.9829,0.8858,0.3491,0.9829,0.3319,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
all_data_dummy,0.8945,0.9085,0.9521,0.9298,0.7358,0.9521,0.6879,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-11_09-36-29
only_names,0.8995,0.8987,0.9726,0.9342,0.6981,0.9726,0.6707,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-11_09-36-29
only_with_children,0.8945,0.8981,0.9658,0.9307,0.6981,0.9658,0.6639,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-11_09-36-29
only_with_parents,0.897,0.901,0.9658,0.9322,0.7075,0.9658,0.6733,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-11_09-36-29
with_hierarchy,0.902,0.9042,0.9692,0.9355,0.717,0.9692,0.6862,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-11_09-36-29
direct_entity,0.897,0.9283,0.9315,0.9299,0.8019,0.9315,0.7334,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
direct_entity_ontological,0.897,0.9373,0.9212,0.9292,0.8302,0.9212,0.7514,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
sequential_hierarchy,0.907,0.9293,0.9452,0.9372,0.8019,0.9452,0.7471,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
sequential_hierarchy_ontological,0.8819,0.9125,0.9281,0.9202,0.7547,0.9281,0.6828,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
direct_entity_with_synonyms,0.907,0.9126,0.9658,0.9384,0.7453,0.9658,0.711,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
sequential_hierarchy_with_synonyms,0.897,0.9088,0.9555,0.9316,0.7358,0.9555,0.6913,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
direct_entity_with_synonyms,0.8116,0.8423,0.9144,0.8768,0.5283,0.9144,0.4427,anatomy,human-mouse,gpt-4o-mini,2025-03-19_19-48-41
sequential_hierarchy_with_synonyms,0.7136,0.887,0.6986,0.7816,0.7547,0.6986,0.4533,anatomy,human-mouse,gpt-4o-mini,2025-03-19_19-48-41
direct_entity,0.7085,0.9037,0.6747,0.7725,0.8019,0.6747,0.4765,anatomy,human-mouse,gpt-4o-mini,2025-03-12_17-21-53
direct_entity_ontological,0.5126,0.8889,0.3836,0.5359,0.8679,0.3836,0.2515,anatomy,human-mouse,gpt-4o-mini,2025-03-12_17-21-53
sequential_hierarchy,0.7111,0.8899,0.6918,0.7784,0.7642,0.6918,0.4559,anatomy,human-mouse,gpt-4o-mini,2025-03-12_17-21-53
sequential_hierarchy_ontological,0.4799,0.8899,0.3322,0.4838,0.8868,0.3322,0.219,anatomy,human-mouse,gpt-4o-mini,2025-03-12_17-21-53
all_data_dummy,0.641,0.6155,0.9859,0.7578,0.1844,0.9859,0.1703,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_14-26-32
only_names,0.6314,0.6092,0.9845,0.7527,0.1639,0.9845,0.1484,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_14-26-32
only_with_children,0.6202,0.6024,0.9803,0.7463,0.1434,0.9803,0.1237,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_14-26-32
only_with_parents,0.6146,0.5975,0.9916,0.7456,0.1155,0.9916,0.107,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_14-26-32
with_hierarchy,0.6146,0.5975,0.9916,0.7456,0.1155,0.9916,0.107,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_14-26-32
direct_entity,0.6522,0.6242,0.9789,0.7623,0.2197,0.9789,0.1986,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
direct_entity_ontological,0.641,0.6157,0.9845,0.7576,0.1862,0.9845,0.1707,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
sequential_hierarchy,0.6514,0.6221,0.9887,0.7637,0.2048,0.9887,0.1936,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
sequential_hierarchy_ontological,0.6178,0.6007,0.9817,0.7453,0.1359,0.9817,0.1177,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
direct_entity_with_synonyms,0.6498,0.621,0.9887,0.7629,0.2011,0.9887,0.1899,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
sequential_hierarchy_with_synonyms,0.6506,0.6205,0.9958,0.7646,0.1937,0.9958,0.1894,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_00-12-18
all_data_dummy,0.6651,0.6353,0.9677,0.767,0.2644,0.9677,0.2321,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-11_14-33-26
only_names,0.625,0.6052,0.9831,0.7492,0.1508,0.9831,0.134,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-11_14-33-26
only_with_children,0.6418,0.6156,0.9887,0.7588,0.1825,0.9887,0.1712,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-11_14-33-26
only_with_parents,0.621,0.6008,0.9972,0.7499,0.1229,0.9972,0.1201,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-11_14-33-26
with_hierarchy,0.6378,0.6127,0.9902,0.757,0.1713,0.9902,0.1615,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-11_14-33-26
direct_entity,0.6947,0.6621,0.948,0.7796,0.3594,0.948,0.3074,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
direct_entity_ontological,0.6386,0.614,0.9845,0.7563,0.1806,0.9845,0.1652,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
sequential_hierarchy,0.6851,0.6532,0.9536,0.7753,0.3296,0.9536,0.2832,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
sequential_hierarchy_ontological,0.6763,0.6543,0.9156,0.7632,0.3594,0.9156,0.275,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
direct_entity_with_synonyms,0.6867,0.6533,0.9592,0.7772,0.3259,0.9592,0.2851,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
sequential_hierarchy_with_synonyms,0.6851,0.6509,0.9648,0.7773,0.3147,0.9648,0.2795,bioml-2024,ncit-doid,gemini-2.0-flash,2025-05-10_20-26-50
all_data_dummy,0.6875,0.656,0.9494,0.7759,0.3408,0.9494,0.2901,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-11_14-28-22
only_names,0.6418,0.6174,0.9761,0.7564,0.1993,0.9761,0.1753,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-11_14-28-22
only_with_children,0.6434,0.6198,0.9677,0.7556,0.2142,0.9677,0.1818,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-11_14-28-22
only_with_parents,0.6306,0.6087,0.9845,0.7523,0.162,0.9845,0.1465,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-11_14-28-22
with_hierarchy,0.6338,0.611,0.9831,0.7536,0.1713,0.9831,0.1544,bioml-2024,ncit-doid,gemini-2.0-flash-lite,2025-05-11_14-28-22
