Source,Target,Prediction,Confidence
http://mouse.owl#MA_0000756,http://human.owl#NCI_C12992,True,1.0
http://mouse.owl#MA_0000206,http://human.owl#NCI_C12442,True,1.0
http://mouse.owl#MA_0001460,http://human.owl#NCI_C33627,False,1.0
http://mouse.owl#MA_0001841,http://human.owl#NCI_C49210,True,1.0
http://mouse.owl#MA_0001320,http://human.owl#NCI_C33178,True,1.0
http://mouse.owl#MA_0001095,http://human.owl#NCI_C12758,True,1.0
http://mouse.owl#MA_0000789,http://human.owl#NCI_C32296,True,1.0
http://mouse.owl#MA_0000702,http://human.owl#NCI_C49191,True,1.0
http://mouse.owl#MA_0002234,http://human.owl#NCI_C53050,True,1.0
http://mouse.owl#MA_0000004,http://human.owl#NCI_C13041,False,1.0
http://mouse.owl#MA_0000014,http://human.owl#NCI_C12907,True,1.0
http://mouse.owl#MA_0001633,http://human.owl#NCI_C49228,True,1.0
http://mouse.owl#MA_0000398,http://human.owl#NCI_C32492,True,1.0
http://mouse.owl#MA_0001771,http://human.owl#NCI_C12867,True,1.0
http://mouse.owl#MA_0000777,http://human.owl#NCI_C33791,True,1.0
http://mouse.owl#MA_0000205,http://human.owl#NCI_C12442,True,1.0
http://mouse.owl#MA_0001552,http://human.owl#NCI_C33565,True,1.0
http://mouse.owl#MA_0001454,http://human.owl#NCI_C33869,True,1.0
http://mouse.owl#MA_0001355,http://human.owl#NCI_C32414,True,1.0
http://mouse.owl#MA_0002684,http://human.owl#NCI_C32658,True,1.0
http://mouse.owl#MA_0002302,http://human.owl#NCI_C53172,True,1.0
http://mouse.owl#MA_0001729,http://human.owl#NCI_C49312,True,1.0
http://mouse.owl#MA_0002723,http://human.owl#NCI_C32743,False,1.0
http://mouse.owl#MA_0000341,http://human.owl#NCI_C12421,True,1.0
http://mouse.owl#MA_0001831,http://human.owl#NCI_C49210,True,1.0
http://mouse.owl#MA_0001347,http://human.owl#NCI_C33121,False,1.0
http://mouse.owl#MA_0001073,http://human.owl#NCI_C12897,True,1.0
http://mouse.owl#MA_0001326,http://human.owl#NCI_C33205,True,1.0
http://mouse.owl#MA_0000170,http://human.owl#NCI_C12455,True,1.0
http://mouse.owl#MA_0002062,http://human.owl#NCI_C33661,False,1.0
http://mouse.owl#MA_0002688,http://human.owl#NCI_C32926,True,1.0
http://mouse.owl#MA_0002225,http://human.owl#NCI_C33666,True,1.0
http://mouse.owl#MA_0001659,http://human.owl#NCI_C32683,True,1.0
http://mouse.owl#MA_0001546,http://human.owl#NCI_C32929,True,1.0
http://mouse.owl#MA_0002053,http://human.owl#NCI_C33661,False,1.0
http://mouse.owl#MA_0001982,http://human.owl#NCI_C52941,True,1.0
http://mouse.owl#MA_0002127,http://human.owl#NCI_C33665,False,1.0
http://mouse.owl#MA_0000186,http://human.owl#NCI_C49136,True,1.0
http://mouse.owl#MA_0002324,http://human.owl#NCI_C32824,True,1.0
http://mouse.owl#MA_0001032,http://human.owl#NCI_C12821,True,1.0
http://mouse.owl#MA_0002677,http://human.owl#NCI_C48257,True,1.0
http://mouse.owl#MA_0001914,http://human.owl#NCI_C52844,True,1.0
http://mouse.owl#MA_0001039,http://human.owl#NCI_C12899,True,1.0
http://mouse.owl#MA_0000259,http://human.owl#NCI_C12292,True,1.0
http://mouse.owl#MA_0001676,http://human.owl#NCI_C32154,True,1.0
http://mouse.owl#MA_0000901,http://human.owl#NCI_C32653,True,1.0
http://mouse.owl#MA_0001679,http://human.owl#NCI_C32154,False,1.0
http://mouse.owl#MA_0001567,http://human.owl#NCI_C49222,True,1.0
http://mouse.owl#MA_0001289,http://human.owl#NCI_C28381,True,1.0
