Source,Target,Prediction,Confidence
http://snomed.info/id/703125003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C71744,True,1.0
http://snomed.info/id/372672009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61691,True,1.0
http://snomed.info/id/395862009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65745,False,1.0
http://snomed.info/id/733733005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80059,True,1.0
http://snomed.info/id/411000220105,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C82238,True,1.0
http://snomed.info/id/108716007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1579,True,1.0
http://snomed.info/id/373337007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62045,True,1.0
http://snomed.info/id/58907007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47730,True,1.0
http://snomed.info/id/396042009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87375,True,1.0
http://snomed.info/id/1144477009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114498,True,1.0
http://snomed.info/id/35318005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47519,True,1.0
http://snomed.info/id/386837002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C537,True,1.0
http://snomed.info/id/373541007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C374,True,1.0
http://snomed.info/id/10534002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39668,False,1.0
http://snomed.info/id/96225007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61312,False,1.0
http://snomed.info/id/387333002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28834,True,1.0
http://snomed.info/id/411264000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152407,True,1.0
http://snomed.info/id/421651006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87686,True,1.0
http://snomed.info/id/259446009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C83975,True,1.0
http://snomed.info/id/703840003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2682,False,1.0
http://snomed.info/id/426686007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2693,True,1.0
http://snomed.info/id/775119009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C156396,True,1.0
http://snomed.info/id/412072006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61526,True,1.0
http://snomed.info/id/387387008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C848,True,1.0
http://snomed.info/id/747006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66258,True,1.0
http://snomed.info/id/387057008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1756,True,1.0
http://snomed.info/id/387522004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C733,True,1.0
http://snomed.info/id/387007000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29303,True,1.0
http://snomed.info/id/387165009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C468,True,1.0
http://snomed.info/id/703113001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97308,False,1.0
http://snomed.info/id/87599003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47606,True,1.0
http://snomed.info/id/372707005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45653,True,1.0
http://snomed.info/id/387086006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C611,True,1.0
http://snomed.info/id/897038008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C174704,True,1.0
http://snomed.info/id/32800009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47522,True,1.0
