Prompt,Accuracy,Precision,Recall,F1 Score,Specificity,Sensitivity,Youden's index,Dataset,SubSet,Model,Run
all_data_dummy,0.7352,0.7143,0.9816,0.8269,0.2889,0.9816,0.2705,anatomy,human-mouse,gemini-1.5-flash,2025-05-11_14-15-15
only_names,0.7194,0.6966,1.0,0.8212,0.2111,1.0,0.2111,anatomy,human-mouse,gemini-1.5-flash,2025-05-11_14-15-15
only_with_children,0.7352,0.7087,1.0,0.8295,0.2556,1.0,0.2556,anatomy,human-mouse,gemini-1.5-flash,2025-05-11_14-15-15
only_with_parents,0.7194,0.7,0.9877,0.8193,0.2333,0.9877,0.2211,anatomy,human-mouse,gemini-1.5-flash,2025-05-11_14-15-15
with_hierarchy,0.7273,0.7061,0.9877,0.8235,0.2556,0.9877,0.2433,anatomy,human-mouse,gemini-1.5-flash,2025-05-11_14-15-15
direct_entity,0.747,0.72,0.9939,0.8351,0.3,0.9939,0.2939,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
direct_entity_ontological,0.747,0.72,0.9939,0.8351,0.3,0.9939,0.2939,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
sequential_hierarchy,0.7312,0.7111,0.9816,0.8247,0.2778,0.9816,0.2594,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
sequential_hierarchy_ontological,0.7115,0.694,0.9877,0.8152,0.2111,0.9877,0.1988,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
direct_entity_with_synonyms,0.7549,0.7265,0.9939,0.8394,0.3222,0.9939,0.3161,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
sequential_hierarchy_with_synonyms,0.7431,0.7188,0.9877,0.832,0.3,0.9877,0.2877,anatomy,human-mouse,gemini-1.5-flash,2025-05-10_23-56-32
all_data_dummy,0.7628,0.7373,0.9816,0.8421,0.3667,0.9816,0.3483,anatomy,human-mouse,gemini-2.0-flash,2025-05-11_14-13-34
only_names,0.7431,0.7149,1.0,0.8338,0.2778,1.0,0.2778,anatomy,human-mouse,gemini-2.0-flash,2025-05-11_14-13-34
only_with_children,0.7549,0.7244,1.0,0.8402,0.3111,1.0,0.3111,anatomy,human-mouse,gemini-2.0-flash,2025-05-11_14-13-34
only_with_parents,0.7312,0.7074,0.9939,0.8265,0.2556,0.9939,0.2494,anatomy,human-mouse,gemini-2.0-flash,2025-05-11_14-13-34
with_hierarchy,0.7549,0.7265,0.9939,0.8394,0.3222,0.9939,0.3161,anatomy,human-mouse,gemini-2.0-flash,2025-05-11_14-13-34
direct_entity,0.7668,0.7407,0.9816,0.8443,0.3778,0.9816,0.3594,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
direct_entity_ontological,0.7273,0.708,0.9816,0.8226,0.2667,0.9816,0.2483,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
sequential_hierarchy,0.7905,0.7644,0.9755,0.8571,0.4556,0.9755,0.431,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
sequential_hierarchy_ontological,0.7945,0.7681,0.9755,0.8595,0.4667,0.9755,0.4421,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
direct_entity_with_synonyms,0.7866,0.7535,0.9939,0.8571,0.4111,0.9939,0.405,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
sequential_hierarchy_with_synonyms,0.7866,0.7559,0.9877,0.8564,0.4222,0.9877,0.41,anatomy,human-mouse,gemini-2.0-flash,2025-05-10_20-02-37
all_data_dummy,0.8142,0.7929,0.9632,0.8698,0.5444,0.9632,0.5076,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-11_14-14-29
only_names,0.7352,0.7087,1.0,0.8295,0.2556,1.0,0.2556,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-11_14-14-29
only_with_children,0.7431,0.7149,1.0,0.8338,0.2778,1.0,0.2778,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-11_14-14-29
only_with_parents,0.7391,0.7118,1.0,0.8316,0.2667,1.0,0.2667,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-11_14-14-29
with_hierarchy,0.751,0.7232,0.9939,0.8372,0.3111,0.9939,0.305,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-11_14-14-29
direct_entity,0.7866,0.7608,0.9755,0.8548,0.4444,0.9755,0.4199,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
direct_entity_ontological,0.7905,0.8274,0.8528,0.8399,0.6778,0.8528,0.5305,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
sequential_hierarchy,0.7826,0.7571,0.9755,0.8525,0.4333,0.9755,0.4088,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
sequential_hierarchy_ontological,0.8024,0.7958,0.9325,0.8588,0.5667,0.9325,0.4992,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
direct_entity_with_synonyms,0.7668,0.743,0.9755,0.8435,0.3889,0.9755,0.3643,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
sequential_hierarchy_with_synonyms,0.7589,0.7361,0.9755,0.8391,0.3667,0.9755,0.3421,anatomy,human-mouse,gemini-2.0-flash-lite,2025-05-10_19-35-50
all_data_dummy,0.8696,0.8571,0.9571,0.9043,0.7111,0.9571,0.6682,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-11_09-36-29
only_names,0.8577,0.847,0.9509,0.896,0.6889,0.9509,0.6398,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-11_09-36-29
only_with_children,0.8498,0.8453,0.9387,0.8895,0.6889,0.9387,0.6275,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-11_09-36-29
only_with_parents,0.8696,0.8533,0.9632,0.9049,0.7,0.9632,0.6632,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-11_09-36-29
with_hierarchy,0.8656,0.8564,0.9509,0.9012,0.7111,0.9509,0.662,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-11_09-36-29
direct_entity,0.8814,0.8889,0.9325,0.9102,0.7889,0.9325,0.7214,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
direct_entity_ontological,0.8972,0.9053,0.9387,0.9217,0.8222,0.9387,0.7609,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
sequential_hierarchy,0.8854,0.8895,0.9387,0.9134,0.7889,0.9387,0.7275,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
sequential_hierarchy_ontological,0.8617,0.8678,0.9264,0.8961,0.7444,0.9264,0.6708,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
direct_entity_with_synonyms,0.8775,0.8708,0.9509,0.9091,0.7444,0.9509,0.6954,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
sequential_hierarchy_with_synonyms,0.8577,0.8588,0.9325,0.8941,0.7222,0.9325,0.6547,anatomy,human-mouse,gemini-2.5-flash-preview-04-17,2025-05-10_19-29-40
direct_entity_with_synonyms,0.7668,0.7708,0.908,0.8338,0.5111,0.908,0.4191,anatomy,human-mouse,gpt-4o-mini,2025-03-19_19-48-41
sequential_hierarchy_with_synonyms,0.6957,0.8258,0.6687,0.739,0.7444,0.6687,0.4132,anatomy,human-mouse,gpt-4o-mini,2025-03-19_19-48-41
direct_entity,0.7154,0.864,0.6626,0.75,0.8111,0.6626,0.4737,anatomy,human-mouse,gpt-4o-mini,2025-03-12_17-21-53
direct_entity_ontological,0.6047,0.8539,0.4663,0.6032,0.8556,0.4663,0.3218,anatomy,human-mouse,gpt-4o-mini,2025-03-12_17-21-53
sequential_hierarchy,0.7273,0.8561,0.6933,0.7661,0.7889,0.6933,0.4821,anatomy,human-mouse,gpt-4o-mini,2025-03-12_17-21-53
sequential_hierarchy_ontological,0.5455,0.8429,0.362,0.5064,0.8778,0.362,0.2397,anatomy,human-mouse,gpt-4o-mini,2025-03-12_17-21-53
all_data_dummy,0.5181,0.4678,0.9807,0.6335,0.1768,0.9807,0.1575,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_14-26-32
only_names,0.5064,0.4618,0.9835,0.6285,0.1545,0.9835,0.1379,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_14-26-32
only_with_children,0.4912,0.454,0.978,0.6201,0.1321,0.978,0.1101,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_14-26-32
only_with_parents,0.4807,0.4493,0.989,0.6179,0.1057,0.989,0.0947,bioml-2024,ncit-doid,gemini-1.5-flash,2025-05-11_14-26-32
