Source,Target,Prediction,Confidence
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3101,http://purl.obolibrary.org/obo/DOID_2214,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C116003,http://purl.obolibrary.org/obo/DOID_11574,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8089,http://purl.obolibrary.org/obo/DOID_5485,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3967,http://purl.obolibrary.org/obo/DOID_0110845,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4855,http://purl.obolibrary.org/obo/DOID_2596,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7658,http://purl.obolibrary.org/obo/DOID_0080072,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3223,http://purl.obolibrary.org/obo/DOID_3982,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9094,http://purl.obolibrary.org/obo/DOID_3068,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3242,http://purl.obolibrary.org/obo/DOID_0070004,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35331,http://purl.obolibrary.org/obo/DOID_2237,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C115327,http://purl.obolibrary.org/obo/DOID_4858,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40025,http://purl.obolibrary.org/obo/DOID_5744,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35552,http://purl.obolibrary.org/obo/DOID_1287,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7558,http://purl.obolibrary.org/obo/DOID_1380,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C103186,http://purl.obolibrary.org/obo/DOID_0060043,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35119,http://purl.obolibrary.org/obo/DOID_11450,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3969,http://purl.obolibrary.org/obo/DOID_0110849,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7401,http://purl.obolibrary.org/obo/DOID_713,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61236,http://purl.obolibrary.org/obo/DOID_1342,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6569,http://purl.obolibrary.org/obo/DOID_4772,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53555,http://purl.obolibrary.org/obo/DOID_0060548,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8366,http://purl.obolibrary.org/obo/DOID_6198,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4878,http://purl.obolibrary.org/obo/DOID_1324,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85505,http://purl.obolibrary.org/obo/DOID_13078,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3765,http://purl.obolibrary.org/obo/DOID_5884,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7865,http://purl.obolibrary.org/obo/DOID_1790,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97168,http://purl.obolibrary.org/obo/DOID_0050670,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27392,http://purl.obolibrary.org/obo/DOID_4915,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C123251,http://purl.obolibrary.org/obo/DOID_0060854,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114357,http://purl.obolibrary.org/obo/DOID_676,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C124846,http://purl.obolibrary.org/obo/DOID_0060768,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62570,http://purl.obolibrary.org/obo/DOID_2729,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C129724,http://purl.obolibrary.org/obo/DOID_14350,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40033,http://purl.obolibrary.org/obo/DOID_6067,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C123308,http://purl.obolibrary.org/obo/DOID_11722,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3810,http://purl.obolibrary.org/obo/DOID_1115,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7623,http://purl.obolibrary.org/obo/DOID_3996,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6585,http://purl.obolibrary.org/obo/DOID_3347,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26871,http://purl.obolibrary.org/obo/DOID_1579,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38004,http://purl.obolibrary.org/obo/DOID_0060281,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C123251,http://purl.obolibrary.org/obo/DOID_0060855,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C115427,http://purl.obolibrary.org/obo/DOID_5677,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40267,http://purl.obolibrary.org/obo/DOID_6848,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C98933,http://purl.obolibrary.org/obo/DOID_2862,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8265,http://purl.obolibrary.org/obo/DOID_4947,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43284,http://purl.obolibrary.org/obo/DOID_0050292,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6120,http://purl.obolibrary.org/obo/DOID_5465,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4576,http://purl.obolibrary.org/obo/DOID_6098,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84683,http://purl.obolibrary.org/obo/DOID_14793,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53554,http://purl.obolibrary.org/obo/DOID_0060548,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84761,http://purl.obolibrary.org/obo/DOID_2741,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7584,http://purl.obolibrary.org/obo/DOID_10041,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97090,http://purl.obolibrary.org/obo/DOID_9252,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3054,http://purl.obolibrary.org/obo/DOID_0060087,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5973,http://purl.obolibrary.org/obo/DOID_13476,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61236,http://purl.obolibrary.org/obo/DOID_1339,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74983,http://purl.obolibrary.org/obo/DOID_0060426,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9281,http://purl.obolibrary.org/obo/DOID_7849,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84562,http://purl.obolibrary.org/obo/DOID_14793,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84521,http://purl.obolibrary.org/obo/DOID_0060406,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8094,http://purl.obolibrary.org/obo/DOID_7732,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C122923,http://purl.obolibrary.org/obo/DOID_13317,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84794,http://purl.obolibrary.org/obo/DOID_0050592,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8884,http://purl.obolibrary.org/obo/DOID_5563,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4536,http://purl.obolibrary.org/obo/DOID_4916,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37257,http://purl.obolibrary.org/obo/DOID_3162,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C129724,http://purl.obolibrary.org/obo/DOID_14353,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C44959,http://purl.obolibrary.org/obo/DOID_11262,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3468,http://purl.obolibrary.org/obo/DOID_0050749,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C131677,http://purl.obolibrary.org/obo/DOID_13382,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C116538,http://purl.obolibrary.org/obo/DOID_3329,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97089,http://purl.obolibrary.org/obo/DOID_2978,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8402,http://purl.obolibrary.org/obo/DOID_4418,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26931,http://purl.obolibrary.org/obo/DOID_14177,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6290,http://purl.obolibrary.org/obo/DOID_2870,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3053,http://purl.obolibrary.org/obo/DOID_0060086,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7810,http://purl.obolibrary.org/obo/DOID_1967,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9061,http://purl.obolibrary.org/obo/DOID_11615,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3324,http://purl.obolibrary.org/obo/DOID_3852,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C98983,http://purl.obolibrary.org/obo/DOID_14702,False,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C124270,http://purl.obolibrary.org/obo/DOID_769,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35213,http://purl.obolibrary.org/obo/DOID_14064,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35468,http://purl.obolibrary.org/obo/DOID_4449,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9003,http://purl.obolibrary.org/obo/DOID_0050891,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C129074,http://purl.obolibrary.org/obo/DOID_0060758,True,1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42700,http://purl.obolibrary.org/obo/DOID_6171,True,1.0
